2013-06-18 22:44:43,web/viniciussebold/enderecoCliente.jsp, Qtd total de linhas: 46, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 43
2013-06-18 22:44:43,web/viniciussebold/index.jsp, Qtd total de linhas: 18, Qtd Linhas Scriplets: 7, Qtd Linhas Taglib: 1, Qtd Linhas Html: 10
2013-06-18 22:44:43,web/viniciussebold/listarclientes.jsp, Qtd total de linhas: 267, Qtd Linhas Scriplets: 51, Qtd Linhas Taglib: 5, Qtd Linhas Html: 211
2013-06-18 21:55:16,web/thais/alterar.jsp, Qtd total de linhas: 62, Qtd Linhas Scriplets: 15, Qtd Linhas Taglib: 2, Qtd Linhas Html: 45
2013-06-18 21:55:16,web/thais/cadastroCliente.jsp, Qtd total de linhas: 41, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 38
2013-06-18 21:55:16,web/thais/clienteCompleto.jsp, Qtd total de linhas: 128, Qtd Linhas Scriplets: 19, Qtd Linhas Taglib: 1, Qtd Linhas Html: 108
2013-06-18 21:55:16,web/thais/deletar.jsp, Qtd total de linhas: 22, Qtd Linhas Scriplets: 2, Qtd Linhas Taglib: 3, Qtd Linhas Html: 17
2013-06-18 21:55:16,web/thais/enderecoCliente.jsp, Qtd total de linhas: 46, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 43
2013-06-18 21:48:14,web/willian/index.jsp, Qtd total de linhas: 19, Qtd Linhas Scriplets: 7, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-06-18 21:48:14,web/willian/jsp/ListarCliente.jsp, Qtd total de linhas: 70, Qtd Linhas Scriplets: 7, Qtd Linhas Taglib: 1, Qtd Linhas Html: 62
2013-06-18 21:48:14,web/willian/jsp/cadastroCliente.jsp, Qtd total de linhas: 41, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 38
2013-06-18 21:48:14,web/willian/jsp/clienteCompleto.jsp, Qtd total de linhas: 111, Qtd Linhas Scriplets: 13, Qtd Linhas Taglib: 1, Qtd Linhas Html: 97
2013-06-18 21:48:14,web/willian/jsp/enderecoCliente.jsp, Qtd total de linhas: 46, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 43
2013-06-18 21:30:23,web/jorge/cadastroCliente.jsp, Qtd total de linhas: 45, Qtd Linhas Scriplets: 4, Qtd Linhas Taglib: 0, Qtd Linhas Html: 41
2013-06-18 21:30:23,web/jorge/clienteCompleto.jsp, Qtd total de linhas: 112, Qtd Linhas Scriplets: 14, Qtd Linhas Taglib: 1, Qtd Linhas Html: 97
2013-06-18 21:30:23,web/jorge/enderecoCliente.jsp, Qtd total de linhas: 46, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 43
2013-06-18 21:30:23,web/jorge/index.jsp, Qtd total de linhas: 19, Qtd Linhas Scriplets: 7, Qtd Linhas Taglib: 1, Qtd Linhas Html: 11
2013-06-18 21:30:23,web/jorge/manutencaoCliente.jsp, Qtd total de linhas: 59, Qtd Linhas Scriplets: 15, Qtd Linhas Taglib: 1, Qtd Linhas Html: 43
2013-06-18 21:30:23,web/jorge/manutencaoClientes.jsp, Qtd total de linhas: 44, Qtd Linhas Scriplets: 13, Qtd Linhas Taglib: 2, Qtd Linhas Html: 29
2013-06-18 20:55:32,web/viniciusesser/cadastroCliente.jsp, Qtd total de linhas: 44, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 41
2013-06-18 20:55:32,web/viniciusesser/clienteCompleto.jsp, Qtd total de linhas: 112, Qtd Linhas Scriplets: 13, Qtd Linhas Taglib: 1, Qtd Linhas Html: 98
2013-06-18 20:55:32,web/viniciusesser/enderecoCliente.jsp, Qtd total de linhas: 46, Qtd Linhas Scriplets: 3, Qtd Linhas Taglib: 0, Qtd Linhas Html: 43
