DATA	CAMINHO	"QTD GERAL
 LINHAS"	"LINHAS
SCRIPLETS"	"LINHAS
TAGLIB"	"LINHAS
HTML"	"LINHAS
SCRIPLETS
COMENTADAS"
2014-12-03 10:52:52	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	131	0	10	100	21
2014-12-03 10:52:52	web/src/main/webapp/WEB-INF/jsp/home.jsp	205	0	2	178	25
2014-12-03 10:52:52	web/src/main/webapp/WEB-INF/jsp/layout.jsp	209	0	4	184	21
2014-12-01 15:23:08	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	122	0	2	99	21
2014-12-01 15:21:56	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	122	0	2	99	21
2014-12-01 15:21:51	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	121	0	2	98	21
2014-12-01 15:21:21	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	122	0	2	99	21
2014-12-01 15:00:15	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	121	0	2	98	21
2014-12-01 14:29:14	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	121	0	2	98	21
2014-12-01 13:59:48	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	120	0	2	97	21
2014-12-01 13:57:41	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	120	0	2	97	21
2014-12-01 13:44:03	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	111	0	2	88	21
2014-12-01 13:41:07	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	111	0	2	88	21
2014-12-01 12:53:05	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	96	0	2	73	21
2014-12-01 11:58:16	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	94	0	2	71	21
2014-12-01 10:33:46	web/src/main/webapp/WEB-INF/jsp/includes/experiment-description.jsp	94	0	2	71	21
2014-12-01 08:59:52	web/src/main/webapp/WEB-INF/jsp/includes/request-preferences.jsp	180	0	5	152	23
2014-12-01 08:36:10	web/src/main/webapp/WEB-INF/jsp/home.jsp	203	0	2	176	25
2014-12-01 08:36:10	web/src/main/webapp/WEB-INF/jsp/layout.jsp	201	0	4	176	21
2014-12-01 08:36:10	web/src/main/webapp/WEB-INF/jsp/layout/header.jsp	307	0	2	284	21
2014-11-27 14:24:40	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	163	0	4	135	24
2014-11-27 09:07:46	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-11-24 16:42:37	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-data.jsp	54	0	2	47	5
2014-11-24 16:42:37	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	77	0	3	71	3
2014-11-18 13:04:04	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-11-18 12:46:41	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-11-18 09:31:12	web/src/main/webapp/WEB-INF/jsp/fast-qc-template.jsp	79	6	6	66	1
2014-11-14 17:50:01	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	67	0	2	43	22
2014-11-14 17:50:01	web/src/main/webapp/WEB-INF/jsp/layout/footer.jsp	104	0	1	72	31
2014-11-14 17:45:06	web/src/main/webapp/WEB-INF/jsp/layout/footer.jsp	116	0	1	94	21
